,Noble Area Soccer Association,,,http://www.nasasoccer.info/NasaSoccer/,,,Albion,
,Argos Youth Soccer,,,https://www.argosyouthsoccer.com/,,,Argos,
,Rangers Academy,,,https://www.rangerspfc.com/,,,Auburn,
,Bremen Soccer,,,http://www.bremensoccer.net/,,,Bremen,
,The City SC,,,https://www.facebook.com/groups/344805735929817,,,Columbia City,
,Indiana Elite F.C.,,,https://www.indianaelitefc.com/,,,Crown Point,
,Millennium Soccer Association,,,http://www.millenniumsoccer.org/,,,Crown Point,
,NWI Lions United,,,https://www.nwilionsunited.com/home,,,Crown Point,
,Culver Soccer,,,https://www.facebook.com/pages/Culver-Youth-Soccer-Field/753961184622876,,,Culver,
,Muddy River FC,,,https://www.muddyriverfc.com/home,,,Decatur,
,Elkhart County United,,,https://www.ecusoccer.com/,,,Elkhart,
,Carroll County Youth Soccer,,,https://ccysl.com/,,,Flora,
,Fort Wayne Sport Club,,,https://www.fortwaynesportclub.com/fortwaynesoccer,,,Fort Wayne,
,Fort Wayne United FC,,,http://www.fwunitedfc.com/,,,Fort Wayne,
,Hurricane Soccer,,,https://hurricanesoccer.org/,,,Fort Wayne,
,St. Joe Soccer League,,,https://www.stjoesoccer.com/,,,Fort Wayne,
,Goshen Stars Soccer Club,,,http://goshenstars.leagueapps.com/,,,Goshen,
,Michiana Echo Soccer Club,,,http://www.michianaecho.com/,,,Granger,
,Michiana Soccer Association,,,http://www.michianasoccer.org/,,,Granger,
,Hebron Soccer Club,,,https://hebronsoccerclub.com/,,,Hebron,
,Huntington United FC,,,https://www.huntingtonunitedfc.com/,,,Huntington,
,FC Midwest Academy,,,https://fcmidwestacademy.com/,,,Kendallville,
,Starke County,,,https://www.facebook.com/Starke-County-Youth-Soccer-League-117851968245537/,,,Knox,
,LaVille Youth Soccer,,,http://www.lavillesoccer.com/,,,Lakeville,
,Logansport Soccer Club,,,https://logansoccer.com/,,,Logansport,
,Central Indiana Futbol Club,,,https://www.centralindianafc.com/,,,Marion,
,Indiana Fire Academy North,,,http://magicsoccerclub.com/,,,Middlebury,
,Northwood Soccer Club,,,http://www.pumassoccer.com/,,,Nappanee,
,Plymouth Recreational League,,,http://plymouthrecsoccer.com/,,,Plymouth,
,Plymouth United FC,,,http://www.plymouthunitedfc.com/,,,Plymouth,
,Fulton County Soccer Association,,,http://www.fultoncountysoccer.org/,,,Rochester,
,West End SC,,,https://www.facebook.com/WestEndSoccer/,,,Shipshewana,
,Jr. Irish Soccer Club,,,http://www.jririshsoccer.org/,,,South Bend,
,Warsaw Travel SC,,,https://www.warsawwave.com/,,,Warsaw,
,Hamilton North Futbol Club,,,https://www.hamiltonnorthfc.com/,,,Arcadia,
,Westside United FC,,,http://wsusoccer.gotsport.com/clubsite/?p=1572,,,Avon,
,South Central Soccer Academy,,,http://scsaindy.com/,,,Bargersville,
,Clay Youth Soccer Club,,,https://leagues.bluesombrero.com/default.aspx?portalid=9768,,,Brazil,
,Carmel FC,,,https://www.cdccarmelfc.com/,,,Carmel,
,Centerville SC (K.I.C.S.),,,https://www.kidsincentervillesoccer.com/,,,Centerville,
,Mill Creek Optimist Soccer Club,,,http://millcreeksoccerclub.org/,,,Clayton,
,Breakfast Optimist of Clinton Youth Soccer,,,https://www.clintonoptimist.com/,,,Clinton,
,Montgomery County United Soccer Club,,,http://www.mcusc.org/,,,Crawfordsville,
,Danville Soccer,,,https://www.danvillesoccer.net/,,,Danville,
,Mudsock Youth Soccer,,,https://soccer.myathletics.com/,,,Fishers,
,Rush County Youth Soccer,,,https://clubs.bluesombrero.com/rushcountyyouthsoccer,,,Glenwood,
,Putnam County Youth Soccer,,,https://www.pcysa.com/,,,Greencastle,
