,Arizona Soccer Academy,https://www.azsocceracademy.com/,
,Arizona Storm,https://www.azstormfc.com/,
,AYSO United,https://aysounitedsoccer.com/,
,AZ Arsenal,https://www.azarsenalsc.org/,
,AZFC Select,https://azfcselect.com/,
,,,
,Arizona Soccer Club,https://www.arizonasoccerclub.com/,
,AZ Inferno,https://www.azinfernosoccerclub.net/,
,Betis Academy Arizona,https://www.betisacademyaz.com/,
,Brazas Futebol Club,https://brazas.org/,
,CCV Stars,https://ccvstars.com/soccer,
,,,
,East Valley NSFC,https://evnsfc.com/,
,Epic Soccer Club,https://www.epicazsoccer.org/,
,Excel Soccer Academy,https://www.excelsocceracademy.com/,
,FC Arizona,https://fcarizona.com/,
,FC Batavia,https://fcbatavia.com/,
,,,
,Fierce Futbol Lions,https://www.fiercefutbollions.net/,
,Futbolito Bimbo Soccer League,https://www.tuzosphoenix.com/,
,Gilbert Youth Soccer Association,https://www.azgysa.com/,
,Grande Sports Academy/ Barca Residency,https://barcaresidencyacademyusa.com/,
,Juventus Soccer Club,https://juventussoccerclub.org/,
,La Academia FC,https://www.socceracademia.com/,
,Legends FC Arizona,https://www.legendsfcaz.com/,
,Madison FC,https://www.madisonfutbol.com/,
,Mesa Futbol Club,https://mesasoccerleague.com/mesa-f-c-program,
,North Scottsdale Soccer Club,https://www.northscottsdalesoccerclub.com/,
,Nos Santos SC,https://santossc.com/,
,Paris Saint-Germain Academy Phoenix,https://www.psgacademyphoenix.com/,
,Phoenix Surf,https://phoenixsurfsoccer.com/,
,Phoenix United FC,https://www.phoenixunitedfc.com/,
,Playmaker FC,https://www.playmakerfutbolacademy.com/,
,Real Arizona FC,https://www.facebook.com/profile.php?id=100057030477278,
,,,
,SC del Sol,https://www.scdelsol.com/,
,Scottsdale City FC,https://scottsdalecityfc.com/,
,Scottsdale Premier SC,https://www.scottsdalepremier.com/,
,,,
,State 48 FC,https://state48fc.com/,
,Sun Warriors,https://sunwarriorsazfc.wixsite.com/website?fbclid=IwAR3Ze-CMA_DI3VZWJswpg68JjQ3HaHbsTiZ107EkCv1hG0qU3D7qm0UwMwU,
,Synergy FC,https://www.facebook.com/profile.php?id=100057577984359&fbclid=IwAR1dzUZF4NTsWln6FLf1TQgnQ_uLnKwcEpbsMYi1s9TnmG-5oCUkcbokBpA,
,Thunderbird FC,https://thunderbirdfc.org/,
,United Latinos SC,http://latinossoccer.com/,
,USA United Soccer,https://www.usaunitedsoccer.com/,
,Pima County Surf,https://pimacountysurf.com/,
,Renegades Soccer Club,http://renegadessc.arizonasoccerlive.org/home.php,
,Sonoita-Elgin Soccer Club,https://www.facebook.com/SonoitaElginSoccerClub/,
,Southern Arizona Soccer Club,https://southernarizonasoccerclub.org/,
,Spartans FC,https://fcspartans.org/,
,Vail SC,https://vailsoccer.club/,
,Bisbee Youth Soccer,https://www.facebook.com/BisbeeYouthSoccerAssociation/?ref=page_internal,
,Coronado Athletic Club,https://www.coronadoac.com/,
,Sierra Vista SC,http://svsoccer.net/clubsite/?p=8638,
,Yuma Youth Soccer Association,http://yumayouthsoccer.com/,
,San Luis Soccer Association,https://www.facebook.com/people/San-Luis-Soccer-Association/100063517992185/,
,Kingman Youth Soccer League,http://kingmansoccer.arizonasoccerlive.org/home,
,Havasu Lions FC,http://www.lakehavasusoccerleague.com/home.php,
,Flagstaff Revolution,https://www.flagstaffrevolution.org/,
,Flagstaff Soccer Club,https://www.flagstaffsoccerclub.com/,
,OJB FC,https://www.ojbfc.com/,
,Yavapai Soccer Club,https://yavapaisoccer.com/,
