,Calaveras Youth Soccer League,,,Valley Springs 76.98 miles,,,http://sports.bluesombrero.com/cysl,
,Elk Grove Soccer,,,Elk Grove 79.15 miles,,,https://clubs.bluesombrero.com/elkgrovesoccer,
,Valley Hi,,,Sacramento 81.48 miles,,,https://www.leaguelineup.com/welcome.asp?url=vhsc,
,Parkway Soccer Club,,,Parkway 82.32 miles,,,https://clubs.bluesombrero.com/Default.aspx?tabid=800433,
,Rohnert Park Soccer Club,,,Rohnert Park 82.49 miles,,,https://clubs.bluesombrero.com/rohnertparksoccerclub,
,Rohnert Park FC,,,Rohnert Park 83.32 miles,,,https://rohnert-park-fc.com/,
,SYSL Sacramento TOPSoccer,,,Elk Grove 83.77 miles,,,http://clubs.bluesombrero.com/sysltopsoccer,
,Fruitridge Soccer Club,,,Sacramento 85.93 miles,,,https://www.fruitridgesoccerclub.com/,
,Santa Rosa South YSC,,,Santa Rosa 88.01 miles,,,https://clubs.bluesombrero.com/santarosa,
,Sacramento Youth Soccer Club,,,Sacramento 88.09 miles,,,https://sysl.com/Layouts/evolved/Content.aspx?d=qnRns1Tzp7Z6RxUGBj3GhqGlUO3CdP2BrD%2fsYa1Y0c4%3d,
,Empire SC,,,Santa Rosa 88.55 miles,,,https://clubs.bluesombrero.com/empiresoccerclub,
,British American,,,Sacramento 88.79 miles,,,http://clubs.bluesombrero.com/britishamerican,
,Rosemont SC,,,Sacramento 88.92 miles,,,https://clubs.bluesombrero.com/rosemontsoccer,
,West Sacramento Soccer Club,,,West Sacramento 89.16 miles,,,https://www.westsacsoccer.org/home,
,Sierra Oaks SC,,,Sacramento 89.19 miles,,,https://clubs.bluesombrero.com/Default.aspx?tabid=755025,
,River City Youth Soccer League,,,River City 89.28 miles,,,https://www.rivercitysoccerleague.org/home,
,Arden Park SC,,,Carmichael 89.88 miles,,,https://clubs.bluesombrero.com/ardenparksoccerclub,
,Natomas,,,Sacramento 90.31 miles,,,https://www.natomasfa.com/,
,Saint Ignatius,,,Sacramento 90.56 miles,,,http://clubs.bluesombrero.com/stignatius,
,Fulton - El Camino,,,Sacramento 90.9 miles,,,https://clubs.bluesombrero.com/fultonelcamino,
,Del Dayo Soccer Club,,,Carmichael 91.08 miles,,,https://clubs.bluesombrero.com/deldayosoccerclub,
,Mother Lode Youth Soccer League,,,Jackson 92.32 miles,,,https://clubs.bluesombrero.com/motherlode,
,Woodland,,,Woodland 92.49 miles,,,https://www.woodlandsoccerclub.com/,
,Tuolumne County Youth Soccer League,,,Sonora 96.68 miles,,,https://clubs.bluesombrero.com/tuolumne,
,Windsor Youth Soccer League,,,Windsor 97.67 miles,,,https://clubs.bluesombrero.com/windsoryouthsoccer,
,N Highlands/Antelope,,,N. Highlands/Antelope 99.03 miles,,,https://clubs.bluesombrero.com/northhighlands,
,Orangevale SC,,,Orangevale 99.14 miles,,,https://clubs.bluesombrero.com/orangevaleyouthsoccer,
,Sunrise Soccer Club,,,Citrus Heights 99.66 miles,,,http://clubs.bluesombrero.com/sunrisesoccer,
,Kerman Youth Soccer League,,,Kerman 101.92 miles,,,,
,El Dorado Hills Soccer Club,,,El Dorado Hills 102.7 miles,,,http://clubs.bluesombrero.com/rollinghillsyouthsoccerleague,
,Healdsburg Youth Soccer Association,,,Healdsburg 102.85 miles,,,https://www.facebook.com/healdsburgsoccer,
,Madera Youth Soccer League,,,Madera 103.55 miles,,,https://www.leaguelineup.com/welcome.asp?url=maderasoccer,
,El Dorado Youth Soccer League,,,El Dorado 108.6 miles,,,,
,Prospector Soccer Club,,,Shingle Springs 109.38 miles,,,https://clubs.bluesombrero.com/prospectorsoccer,
,Sierra Gold Soccer Club,,,Placerville 112.52 miles,,,https://clubs.bluesombrero.com/sierragoldsoccerclub,
