,21501,,,AVID Soccer Club,,,2 Ellsworth Drive La Vale, MD 21502,,,https://www.msysa.org/clubs/avid-soccer-club/?Near=21501&Radius=250,
,21501,,,LaVale SC,,,PO Box 3063 LaVale, MD 21504,,,https://www.msysa.org/clubs/lavale-sc/?Near=21501&Radius=250,
,21501,,,Appalachian United,,, Frostburg, MD 21532,,,https://www.msysa.org/clubs/appalachian-united/?Near=21501&Radius=250,
,21501,,,Mountaintop Soccer Association,,, Oakland, MD 18707,,,https://www.msysa.org/clubs/mountaintop-soccer-association/?Near=21501&Radius=250,
,21501,,,Clear Spring Soccer Club,,, Clear Spring, MD 21722,,,https://www.msysa.org/clubs/clear-spring-soccer-club/?Near=21501&Radius=250,
,21501,,,Williamsport Youth Soccer,,, Williamsport, MD 21795,,,https://www.msysa.org/clubs/williamsport-youth-soccer/?Near=21501&Radius=250,
,21501,,,Antietam United,,, Fairplay, MD 21733,,,https://www.msysa.org/clubs/antietam-united/?Near=21501&Radius=250,
,21501,,,Hagerstown Soccer Club,,, Hagerstown, MD 21740,,,https://www.msysa.org/clubs/hagerstown-soccer-club/?Near=21501&Radius=250,
,21501,,,Liverpool FCIA Western Maryland,,, Hagerstown, MD 21742,,,https://www.msysa.org/clubs/liverpool-fcia-western-maryland/?Near=21501&Radius=250,
,21501,,,Smithsburg Youth Athletics,,, Smithsburg, MD 21783,,,https://www.msysa.org/clubs/smithsburg-youth-athletics/?Near=21501&Radius=250,
,21501,,,Middletown Valley SC,,, Middletown, MD 21769,,,https://www.msysa.org/clubs/middletown-valley-sc/?Near=21501&Radius=250,
,21501,,,Ballenger Creek Rec. Council,,, Middletown, MD 21755,,,https://www.msysa.org/clubs/ballenger-creek-rec-council/?Near=21501&Radius=250,
,21501,,,Potomac Valley Youth Association,,, Jefferson, MD 21755,,,https://www.msysa.org/clubs/potomac-valley-youth-association/?Near=21501&Radius=250,
,21501,,,TJAY Soccer,,, Frederick, MD 21702,,,https://www.msysa.org/clubs/tjay-soccer/?Near=21501&Radius=250,
,21501,,,Barcelona USA MD,,,1383 Fox Run Ct. Frederick, MD 21703,,,https://www.msysa.org/clubs/barcelona-usa-md/?Near=21501&Radius=250,
,21501,,,Catoctin Youth Soccer,,, Thurmont, MD 21788,,,https://www.msysa.org/clubs/catoctin-youth-soccer/?Near=21501&Radius=250,
,21501,,,Joga Futebol Club,,, Frederick, MD 21703,,,https://www.msysa.org/clubs/joga-futebol-club/?Near=21501&Radius=250,
,21501,,,DMV United,,,5214 Black Locust dr apt 403,,,https://www.msysa.org/clubs/dmv-united/?Near=21501&Radius=250,
,21501,,,Elite Football Club,,,1935 Harpers Ct Frederick, MD 21702,,,https://www.msysa.org/clubs/elite-football-club/?Near=21501&Radius=250,
,21501,,,Key City Football Club,,, Frederick , MD 21701,,,https://www.msysa.org/clubs/key-city-football-club/?Near=21501&Radius=250,
,21501,,,FC Frederick,,, Frederick, MD 21702,,,https://www.msysa.org/clubs/fc-frederick/?Near=21501&Radius=250,
,21501,,,Alliance Soccer Club,,, Frederick, MD 21701,,,https://www.msysa.org/clubs/alliance-soccer-club/?Near=21501&Radius=250,
,21501,,,City SC Frederick,,,27 Provincial Parkway Emmitsburg, MD 21727,,,https://www.msysa.org/clubs/city-sc-frederick/?Near=21501&Radius=250,
,21501,,,Mt. Airy Youth Athletic Association,,, Mt. Airy, MD 21770,,,https://www.msysa.org/clubs/mt-airy-youth-athletic-association/?Near=21501&Radius=250,
,21501,,,Soccer Association of Montgomery,,, Boyds, MD 20841,,,https://www.msysa.org/clubs/soccer-association-of-montgomery/?Near=21501&Radius=250,
,21501,,,Damascus Soccer Club,,, Damascus, MD 20872,,,https://www.msysa.org/clubs/damascus-soccer-club/?Near=21501&Radius=250,
,21501,,,FCGB Center of Excellence,,, Germantown, MD 20874,,,https://www.msysa.org/clubs/fcgb-center-of-excellence/?Near=21501&Radius=250,
,21501,,,World Class Premier,,, Germantown, MD 20874,,,https://www.msysa.org/clubs/world-class-premier/?Near=21501&Radius=250,
,21501,,,Xeneizes MD Soccer Academy,,, Germantown, MD 20874,,,https://www.msysa.org/clubs/xeneizes-md-soccer-academy/?Near=21501&Radius=250,
,21501,,,Top Rank Soccer Club LLC,,, germantown, MD 20874,,,https://www.msysa.org/clubs/top-rank-soccer-club-llc/?Near=21501&Radius=250,
,21501,,,Germantown Elite Soccer Club,,, Germantown, MD 20874,,,https://www.msysa.org/clubs/germantown-elite-soccer-club/?Near=21501&Radius=250,
,21501,,,High Performance Soccer club,,, Germantown, MD 20876,,,https://www.msysa.org/clubs/high-performance-soccer-club/?Near=21501&Radius=250,
,21501,,,Frederick County Soccer Club,,, Mt. Airy, MD 21771,,,https://www.msysa.org/clubs/frederick-county-soccer-club/?Near=21501&Radius=250,
,21501,,,Go Premier Soccer,,, Gaithersburg, MD 20878,,,https://www.msysa.org/clubs/go-premier-soccer/?Near=21501&Radius=250,
,21501,,,Potomac Soccer Association,,, Gaithersberg, MD 20878,,,https://www.msysa.org/clubs/potomac-soccer-association/?Near=21501&Radius=250,
,21501,,,Damascus Soccer Club, Inc,,,267 Kentlands Boulevard #5071,,,https://www.msysa.org/clubs/damascus-soccer-club-inc/?Near=21501&Radius=250,
,21501,,,SOTAM Futbol Academy Inc.,,,Chevy Chase Street Gaithersburg, MD 20878,,,https://www.msysa.org/clubs/sotam-futbol-academy-inc/?Near=21501&Radius=250,
,21501,,,Gaithersburg Soccer School,,,9120 Turtle Dove Lane Gaithersburg, MD 20879,,,https://www.msysa.org/clubs/gaithersburg-soccer-school-/?Near=21501&Radius=250,
,21501,,,Zurdo Soccer Academy,,, Gaithersburg, MD 20877,,,https://www.msysa.org/clubs/zurdo-soccer-academy/?Near=21501&Radius=250,
,21501,,,Bethesda Soccer club,,, Gaithersberg, MD 20877,,,https://www.msysa.org/clubs/bethesda-soccer-club/?Near=21501&Radius=250,
,21501,,,Real Elite FC,,,8340 Beechcraft Ave. Suite F Gaithersburg, MD 20879,,,https://www.msysa.org/clubs/real-elite-fc/?Near=21501&Radius=250,
,21501,,,Pinnacle Futbol Club,,,9709 Key West Avenue Rockville , MD 20850,,,https://www.msysa.org/clubs/pinnacle-futbol-club/?Near=21501&Radius=250,
,21501,,,Toca Juniors Football Club,,, Potomac, MD 20854,,,https://www.msysa.org/clubs/toca-juniors-football-club/?Near=21501&Radius=250,
,21501,,,Maryland Fusion Soccer,,, Potomac, MD 20854,,,https://www.msysa.org/clubs/maryland-fusion-soccer/?Near=21501&Radius=250,
,21501,,,Juventus Academy DC Metro,,, Potomac, MD 20854,,,https://www.msysa.org/clubs/juventus-academy-dc-metro/?Near=21501&Radius=250,
,21501,,,Maryland Rush Montgomery,,, Gaithersberg, MD 20898,,,https://www.msysa.org/clubs/maryland-rush-montgomery/?Near=21501&Radius=250,
,21501,,,Aspire International Football Academy,,,309 Ok Knoll Terrace Rockville, MD 20850,,,https://www.msysa.org/clubs/aspire-international-football-academy/?Near=21501&Radius=250,
,21501,,,Superstar Soccer,,, Derwood, MD 20855,,,https://www.msysa.org/clubs/superstar-soccer/?Near=21501&Radius=250,
,21501,,,Barcelona USA MD,,,PO Box 5572 Derwood, MD 20855,,,https://www.msysa.org/clubs/barcelona-usa-md2/?Near=21501&Radius=250,
,21501,,,United Internazionale FC,,,7361 Calhoun Place Rockville , 0 20855,,,https://www.msysa.org/clubs/united-internazionale-fc/?Near=21501&Radius=250,
,21501,,,Montgomery Soccer, Inc.,,, Rockville, MD 20855,,,https://www.msysa.org/clubs/montgomery-soccer-inc/?Near=21501&Radius=250,
,21501,,,North Carroll Soccer Club,,, Westminster , MD 21157,,,https://www.msysa.org/clubs/north-carroll-soccer-club/?Near=21501&Radius=250,
,21501,,,Westminster Soccer Association,,,P.O. Box 874 Westminster, MD 21158,,,https://www.msysa.org/clubs/westminster-soccer-association/?Near=21501&Radius=250,
