,Utah Celtic FC,,,https://ucrfc.com/,,,Est. 1996 & 1982,,,Programs: Competition,,,Headquarters: Orem,
,Heber Valley Soccer,,,https://www.hvutd.com/Default.aspx?tabid=1554212,,,Est. ,,,Programs: Competition; Academy,,,Headquarters: Heber City,
,Octane Futbol Club,,,http://www.octanefc.com/index.html,,,Est. ,,,Programs: Competition,,,Headquarters: Uintah Basin,
,Xolos Utah,,,https://xolosutah.com/,,,Est. 2017,,,Programs:  Competition; Academy,,,Headquarters: Provo,
,Utah Valley United,,,https://www.uvufc.org/,,,Est. ,,,Programs: Competition; ,,,Headquarters: Orem,
,Shooters Soccer Club,,,https://www.shooterssoccer.org/,,,Est. 2005,,,Programs: Competition; District,,,Headquarters: South Utah County,
,Nebo United,,,http://nebounited.com/,,,Est.,,,Programs: Competition; District; Academy,,,Headquarters: Payson,
,Provo Athletic Club,,,https://provoathletic.com/,,,Est. 2017,,,Programs: Competition,,,Headquarters: Provo,
,St. George FC,,,https://www.stgeorgefc.com/,,,Est. 2021,,,Programs: Competition; Academy,,,Headquarters:  St. George,
,Color County Futbol Club,,,https://southernutahsurf.com/,,,Est. 2013,,,Programs:  Recreation; Academy; Competition,,,Headquarters:  Cedar City; UT,
,Fire FC,,,https://www.firefc.com/firefutbol,,,Est. 2019,,,Programs: Competition; Academy,,,Headquarters: St. George,
,FC Mesquite,,,https://fcmesquitesoccer.com/,,,Est. 2015 ,,,Programs:  RCL; Recreation,,,Headquarters:  Mesquite; Nevada,
