,Arsenal Colorado,,,2721 S College Ave, Fort Collins, CO 80525,,,http://www.soccerfortcollins.org/,,,
,B-Elite Soccer Colorado Springs,,,3870 Mark Dabling Blvd, Colorado Springs, CO 80907,,,https://belitesoccer.com/colorado-springs/,,,
,B-Elite Soccer Denver,,,3443 S Galena St #130, Denver, CO 80231,,,https://belitesoccer.com/denver/,,,
,Bear Creek Soccer Club,,,2750 S Wadsworth Blvd Ste C-204, Denver, CO 80227,,,https://maps.google.com/?q=2750+S+Wadsworth+Blvd+Ste+C-204,+Denver,+CO+80227&ftid=0x876b81b548893467:0xcee7d8c9fac28c3d,,,
,Broomfield Soccer Club,,,2150 W 6th Ave F, Broomfield, CO 80020,,,http://www.broomfieldsoccerclub.org/,,,
,Bright Stars of Colorado Soccer Academy,,,3033 S Parker Rd Suite 240, Aurora, CO 80014,,,http://www.bscsoccer.org/,,,
,Cañon City Blitz,,,Cañon City, CO 81215,,,https://maps.google.com/?q=81215&ftid=0x871486019dd7dbe9:0x3fc7994d00ab47e4,,,
,CASA Community Athletic Soccer Academy,,,2960 Speer Blvd, Denver, CO 80211,,,https://support.google.com/contributionpolicy/answer/7400114,,,
,Chaffee County United SC,,,340 E 4th St, Salida, CO 81201,,,https://maps.google.com/?q=340+E+4th+St,+Salida,+CO+81201&ftid=0x871517e9abbdda45:0x62ac9addb1646b00,,,
,City of Wheat Ridge,,,4005 Kipling St, Wheat Ridge, CO 80033,,,https://maps.google.com/?q=4005+Kipling+St,+Wheat+Ridge,+CO+80033&ftid=0x876b8665780272f3:0x4d4bfac9ea70b994,,,
,Club America of Colorado,,,19044 E Low Cir, Aurora, CO 80015,,,https://maps.google.com/?q=19044+E+Low+Cir,+Aurora,+CO+80015&ftid=0x876c894c5822d16f:0xb4c197fbf989497,,,
,Colorado Hawks,,,17466 E Bellewood Cir, Aurora, CO 80015,,,https://maps.google.com/?q=17466+E+Bellewood+Cir,+Aurora,+CO+80015&ftid=0x876c8917c895260b:0xc8f88ababebff114,,,
,Colorado Ice,,,14799 W 6th Ave, Golden, CO 80401,,,https://www.coloradoice.org/,,,
,CISA Colorado International Soccer Academy,,,1275 Fraser St, Aurora, CO 80011,,,https://maps.google.com/?q=1275+Fraser+St,+Aurora,+CO+80011&ftid=0x876c631172da98c9:0x11bfb249124319bc,,,
,Colorado Mountain United,,,,,,,,,
,Colorado Rapids Castle Rock,,,1609 Park St, Castle Rock, CO 80109,,,http://www.rapidsyouthsoccer.org/,,,
,Colorado Rapids Central,,,111 Havana St Suite 120, Aurora, CO 80010,,,http://www.rapidsyouthsoccer.org/,,,
,Colorado Rapids Fort Collins,,,,,,,,,
