,2,,,210,,,New York Summer Championships,,,Cortland,,,NY,,,new-york-summer-championships-cortland-ny-06-22-2023,
,2,,,234,,,PBRT Illinois Open,,,Rantoul,,,IL,,,pbrt-illinois-open-rantoul-il-06-23-2023,
,2,,,207,,,PBRT Virginia Open,,,Richmond,,,VA,,,virginia-summer-championships-richmond-va-06-22-2023,
,2,,,285,,,Illinois Evolution Series,,,Rantoul,,,IL,,,illinois-evolution-series-rantoul-il-06-24-2023,
,2,,,338,,,2023 Maine Summer Championships,,,Biddleford,,,ME,,,2023-maine-summer-championships-biddleford-me-06-27-2023,
,2,,,325,,,13U National Championship,,,Emerson,,,GA,,,13u-national-championship-emerson-ga-06-29-2023,
,2,,,326,,,14U National Championship,,,Emerson,,,GA,,,14u-national-championship-emerson-ga-06-29-2023,
,2,,,303,,,2023 15U PBR Kentucky Limited Series,,,Danville,,,KY,,,2023-15u-pbr-kentucky-limited-series-danville-ky-06-29-2023,
,2,,,276,,,2023 PBR Great Lakes Invite,,,Kalamazoo,,,MI,,,2023-pbr-great-lakes-invite-detroit-mi-06-29-2023,
,2,,,186,,,2023 PBR Kentucky 13u State Championship,,,Lexington,,,KY,,,2023-pbr-kentucky-13u-state-championship-lexington-ky-06-29-2023,
,2,,,243,,,2023 PBR Mid Summer Classic,,,Columbus,,,OH,,,2023-pbr-ohio-mid-summer-classic-columbus-oh-06-29-2023,
,2,,,220,,,Arizona Summer Championships,,,Mesa,,,AZ,,,arizona-summer-championships-mesa-az-06-29-2023,
,2,,,214,,,Florida Summer Championships,,,Bradenton,,,FL,,,florida-summer-championships-bradenton-fl-06-29-2023,
,2,,,204,,,Indiana Summer Championships,,,Kokomo,,,IN,,,indiana-summer-championships-kokomo-in-06-29-2023,
,2,,,258,,,Kansas City Program Invite,,,Parkville,,,MO,,,kansas-city-program-invite-parkville-mo-06-29-2023,
,2,,,208,,,Virginia Summer Championships,,,Richmond,,,VA,,,virginia-summer-championships-richmond-va-06-29-2023,
,2,,,337,,,2023 Connecticut Summer Championships,,,Harford,,,CT,,,2023-connecticut-summer-championship-fairfield-county-ct-06-30-2023,
,2,,,222,,,PBRT New York Open,,,Cortland,,,NY,,,pbrt-new-york-open-cortland-ny-06-30-2023,
,3,,,237,,,PBRT The Rock Open,,,Mauston,,,WI,,,pbrt-the-rock-open-franklin-wi-06-30-2023,
,3,,,236,,,PBRT Wisconsin Open,,,Mauston,,,WI,,,pbrt-wisconsin-open-mauston-wi-06-30-2023,
,3,,,327,,,15U National Championship,,,Emerson,,,GA,,,15u-national-championship-emerson-ga-07-06-2023,
,3,,,240,,,2023 PBR Mid American Classic,,,Toledo,,,OH,,,2023-pbr-mid-american-classic-toledo-oh-07-06-2023,
,3,,,278,,,2023 PBR Western Michigan Limited Series,,,Detroit,,,MI,,,2023-pbr-western-michigan-limited-series-kalamazoo-mi-07-06-2023,
,3,,,221,,,Arizona Summer Championships,,,Mesa,,,AZ,,,arizona-summer-championships-mesa-az-07-06-2023,
,3,,,332,,,Creekside Fall Championship Qualifier #2,,,Parkville,,,MO,,,creekside-fall-championship-qualifier-2-parkville-mo-07-06-2023,
,3,,,215,,,Florida Summer Championships,,,Bradenton,,,FL,,,florida-summer-championships-bradenton-fl-07-06-2023,
,3,,,260,,,Midwest Premier Super 14 (Member),,,Parkville,,,MO,,,midwest-premier-super-14-member-parkville-mo-07-06-2023,
,3,,,261,,,Midwest Premier Super 14 (Open),,,Parkville,,,MO,,,midwest-premier-super-14-open-parkville-mo-07-06-2023,
,3,,,259,,,Midwest Premier Super 18,,,Parkville,,,MO,,,midwest-premier-super-18-parkville-mo-07-06-2023,
,3,,,206,,,South Carolina Summer Championships,,,Charleston,,,SC,,,south-carolina-summer-championships-charleston-sc-07-06-2023,
,3,,,209,,,Virginia Summer Championships,,,Richmond,,,VA,,,virginia-summer-championships-richmond-va-07-06-2023,
,3,,,235,,,PBRT Illinois Open,,,Rantoul,,,IL,,,pbrt-illinois-open-rantoul-il-07-07-2023,
,3,,,223,,,PBRT New York Open,,,Cortland,,,NY,,,pbrt-new-york-open-cortland-ny-07-07-2023,
,3,,,286,,,Illinois Evolution Series,,,Rantoul,,,IL,,,illinois-evolution-series-rantoul-il-07-08-2023,
,3,,,272,,,2023 PBR Central Ohio Limited Series,,,Columbus,,,OH,,,2023-pbr-central-ohio-limited-series-columbus-oh-07-13-2023,
,3,,,277,,,2023 PBR Eastern Michigan Limited Series,,,Detroit,,,MI,,,2023-pbr-eastern-michigan-limited-series-detroit-mi-07-13-2023,
,3,,,188,,,2023 PBR Kentucky 15u, 16u and 17u Bluegrass Battle,,,Lexington,,,KY,,,2023-pbr-kentucky-15u-16u-and-17u-bluegrass-battle-lexington-ky-07-13-2023,
,3,,,265,,,Midwest Premier Super 16 (Open),,,Parkville,,,MO,,,midwest-premier-super-16-open-parkville-mo-07-21-2023,
,4,,,211,,,New York Summer Championships,,,Cortland,,,NY,,,new-york-summer-championships-cortland-ny-07-13-2023,
,4,,,329,,,Southeast Select,,,Emerson,,,GA,,,southeast-select-emerson-ga-07-13-2023,
