,,,,
,Manassas, VA,http://novasc.sylsoccerconnect.com/,Boys: U11  U15  U17 Girls: U13  U15,
,Herndon/McLean/Prince William, VA,http://novamajestics.sylsoccerconnect.com/,Boys: U11  U12  U13  U14  U15  U17  U19 Girls: U11  U12  U13  U14  U15  U17  U19,
,Nutley, NJ,http://njfirefc.sylsoccerconnect.com/home.php,,
,Fairfax, VA,http://northernvaunitedacademy.sylsoccerconnect.com/,Boys: U11  U12  U13  U14  U15  U17  U19,
,Oak Brook, IL,http://oakbrooksc.sylsoccerconnect.com/,Boys: U11  U12  U13  U15  U17 Girls: U13  U15,
,Germantown, MD,http://realelitefc.sylsoccerconnect.com/home.php,Boys: U13  U14  U15  U17  U19,
,Long Island, NY,http://rockvillecentresc.sylsoccerconnect.com/home.php,Boys: U12 Girls: U11  U13  U15,
,Round Rock, TX,http://roundrocksc.sylsoccerconnect.com/,Boys: U19,
,Kenosh, WI,http://rushwisconsinsoutheast.sylsoccerconnect.com/,Boys: U11  U14  U17 Girls: U13  U17,
,Rockford, MI,http://scormeulensteen.sylsoccerconnect.com/,Boys: U11  U13  U15 Girls: U11  U13  U14,
,Grove City, OH,http://soccerfieldacademy.sylsoccerconnect.com/,Boys: U11  U12  U14  U15  U17  U19,
,Traverse City, MI,http://tbays.sylsoccerconnect.com/,Boys: U19 Girls: U19,
,Ashburn, VA,http://stjamesfcv.sylsoccerconnect.com/home.php,Boys: U11 Girls: U15  U19,
,Morgantown, WV,http://tristateelite.sylsoccerconnect.com/,Boys: U12  U14 Girls: U12  U14  U15,
,Union, NJ,http://unionsc.sylsoccerconnect.com/,Boys: U11  U12  U13  U15  U17  U19 Girls: U17,
,Westfield, NJ,http://unioncountyfc.sylsoccerconnect.com/home.php,Boys: U13  U17 Girls: U13  U17,
,Woodbridge, VA,http://vda.sylsoccerconnect.com/home.php,Boys: U11  U12  U13  U14 Girls: U11  U12  U13  U14,
,Herndon, VA,http://virginiavalorfc.sylsoccerconnect.com/home.php,Boys: U12  U14  U17  U19 Girls: U12  U14  U17  U19,
,Sand Springs, OK,http://westsidealliance.sylsoccerconnect.com/,Boys: U15  U17  U19 Girls: U13  U14  U17,
,New Rochelle, NY,http://westchesterflames.sylsoccerconnect.com/,Boys: U14  U15  U17  U19 ,
