,Ace Soccer Club,https://elements.demosphere-secure.com/scripts/runisa.dll?M2:gp:845385.7699:74555+Elements/Display+E+1531148+Display/+90835892,
,Alcir Soccer Club,https://elements.demosphere-secure.com/scripts/runisa.dll?M2:gp:845385.3153:74555+Elements/Display+E+1531148+Display/+110274112,
,Baldwin Woodville Hawk Soccer Club,https://elements.demosphere-secure.com/scripts/runisa.dll?M2:gp:845385.8480:74555+Elements/Display+E+1531148+Display/+90835893,
,Baldwin Woodville Soccer Club Inc,https://elements.demosphere-secure.com/scripts/runisa.dll?M2:gp:845385.1966:74555+Elements/Display+E+1531148+Display/+109270609,
,Baraboo Soccer Club,https://elements.demosphere-secure.com/scripts/runisa.dll?M2:gp:845385.9090:74555+Elements/Display+E+1531148+Display/+90835894,
,Bavarian United,https://elements.demosphere-secure.com/scripts/runisa.dll?M2:gp:845385.2774:74555+Elements/Display+E+1531148+Display/+90835895,
,Beaver Dam United Soccer Club,https://elements.demosphere-secure.com/scripts/runisa.dll?M2:gp:845385.2081:74555+Elements/Display+E+1531148+Display/+90835896,
,Belleville Bulldogs Soccer Club,https://elements.demosphere-secure.com/scripts/runisa.dll?M2:gp:845385.8341:74555+Elements/Display+E+1531148+Display/+90835897,
,Burlington United SC,https://elements.demosphere-secure.com/scripts/runisa.dll?M2:gp:845385.7238:74555+Elements/Display+E+1531148+Display/+93001477,
,Capital East Soccer Club,https://elements.demosphere-secure.com/scripts/runisa.dll?M2:gp:845385.7107:74555+Elements/Display+E+1531148+Display/+90835898,
,Chequamegon Bay Soccer Association,https://elements.demosphere-secure.com/scripts/runisa.dll?M2:gp:845385.2803:74555+Elements/Display+E+1531148+Display/+90835899,
,Chequamegon Bay Soccer Club,https://elements.demosphere-secure.com/scripts/runisa.dll?M2:gp:845385.2667:74555+Elements/Display+E+1531148+Display/+109270569,
