,Balboa FC,Fort Worth, TX,Division 1,http://division1.upsl.com/teams/balboa-fc-591240,
,Barca Residency Academy USA,Casa Grande, AZ,Premier,https://premier.upsl.com/teams/barca-residency-academy-usa-62816,
,Barcelona Soccer Excellence,Houston, TX,Premier,https://premier.upsl.com/teams/barcelona-soccer-excellence-159122,
,Barcelona Soccer II,Houston, TX,Division 1,http://division1.upsl.com/teams/barcelona-soccer-ii-363378,
,Bay Valley Suns,Pleasanton, CA,Division 1,http://division1.upsl.com/teams/bay-valley-suns-117714,
,Bell County FC,Belton, TX,Division 1,http://division1.upsl.com/teams/bell-county-fc-38709,
,Bellevue Athletic,Bellevue, WA,Premier,https://premier.upsl.com/teams/bellevue-athletic-138454,
,Berber City FC,Chicago, IL,Premier,https://premier.upsl.com/teams/berber-city-fc-212446,
,Borussia Dortmund IA NYC U13,New York City, NY,Academy Boys,http://academyboys.upsl.com/teams/borussia-dortmund-ia-nyc-u13-291600,
,Borussia Dortmund IA NYC U15,New York City, NY,Academy Boys,http://academyboys.upsl.com/teams/borussia-dortmund-ia-nyc-u15-561446,
,Borussia Dortmund IA NYC U17,New York City, NY,Academy Boys,http://academyboys.upsl.com/teams/borussia-dortmund-ia-nyc-u17-120303,
,Boston Athletic Soccer Club,Boston, MA,Academy Boys,http://academyboys.upsl.com/teams/boston-athletic-soccer-club-636488,
,Boston Street FC,Boston, MA,Premier,https://premier.upsl.com/teams/boston-street-fc-994233,
,Brevard SC,Palm Bay , FL,Premier,https://premier.upsl.com/teams/brevard-sc-762278,
,Briar United FC,Raleigh , NC,Division 1,http://division1.upsl.com/teams/briar-united-fc-754777,
,Bridge Sports Club,Laurel, MD,Premier,https://premier.upsl.com/teams/bridge-sports-club-12320,
,BRISHNA FC,New York City, NY,Division 1,http://division1.upsl.com/teams/brishna-fc-931511,
,Brockton FC United,Brockton, MA,Premier,https://premier.upsl.com/teams/brockton-fc-united-587381,
,Brothers United FC,Colorado Springs, CO,Premier,https://premier.upsl.com/teams/brothers-united-fc-54983,
,Bulldogs SC,East Brunswick, NJ,Division 1,http://division1.upsl.com/teams/bulldogs-sc-218315,
