,57401,,,COAST Soccer Club,,,PO Box 103 Pukwana, SD 57370,,,https://www.southdakotasoccer.com/clubs/coastsoccerclub/?Near=57401&Radius=250,
,57401,,,Mitchell Soccer Association,,,PO Box 913 Mitchell, SD 57301,,,https://www.southdakotasoccer.com/clubs/mitchellsoccerassociation/?Near=57401&Radius=250,
,57401,,,Mitchell SA,,,P.O. Box 913 Mitchell, SD 57301,,,https://www.southdakotasoccer.com/clubs/mitchell_sa/?Near=57401&Radius=250,
,57401,,,Brandon Area Soccer Association,,,PO Box 292 Brandon, SD 57005,,,https://www.southdakotasoccer.com/clubs/brandonareasoccerassociation/?Near=57401&Radius=250,
,57401,,,OAHE FC,,,P.O. Box 935 Pierre, SD 57105,,,https://www.southdakotasoccer.com/clubs/oahe_fc/?Near=57401&Radius=250,
,57401,,,South Dakota State Soccer Association,,,2127 S. Minnesota Ave Ste 201,SD,,,https://www.southdakotasoccer.com/clubs/southdakotastatesoccerassociation/?Near=57401&Radius=250,
,57401,,,Dakota Alliance Soccer Club,,,401 W 39th Street Sioux Falls, SD 57105,,,https://www.southdakotasoccer.com/clubs/dakotaalliancesoccerclub/?Near=57401&Radius=250,
,57401,,,Tempo SC,,,P.O. Box 775 Tea, SD 57064,,,https://www.southdakotasoccer.com/clubs/tempo_sc/?Near=57401&Radius=250,
,57401,,,Yankton Soccer Association,,,P.O. Box 1012 Yankton, SD 57078,,,https://www.southdakotasoccer.com/clubs/yankton_soccer_association/?Near=57401&Radius=250,
,57401,,,Predator FC,,,725 W chestnut Vermillion, SD 57069,,,https://www.southdakotasoccer.com/clubs/predatorfc/?Near=57401&Radius=250,
,57401,,,Vermillion YSL,,,P.O. Box 174 Vermillion, SD 57069,,,https://www.southdakotasoccer.com/clubs/vermillion_ysl/?Near=57401&Radius=250,
,57401,,,Black Hills Rapids,,,1660 Dorothy Dr Rapid City, SD 57703-6221,,,https://www.southdakotasoccer.com/clubs/black_hills_rapids/?Near=57401&Radius=250,
,57103,,,OAHE FC,,,P.O. Box 935 Pierre, SD 57105,,,https://www.southdakotasoccer.com/clubs/oahe_fc/?Near=57103&Radius=250,
,57103,,,South Dakota State Soccer Association,,,2127 S. Minnesota Ave Ste 201,SD,,,https://www.southdakotasoccer.com/clubs/southdakotastatesoccerassociation/?Near=57103&Radius=250,
,57103,,,Dakota Alliance Soccer Club,,,401 W 39th Street Sioux Falls, SD 57105,,,https://www.southdakotasoccer.com/clubs/dakotaalliancesoccerclub/?Near=57103&Radius=250,
,57103,,,Brandon Area Soccer Association,,,PO Box 292 Brandon, SD 57005,,,https://www.southdakotasoccer.com/clubs/brandonareasoccerassociation/?Near=57103&Radius=250,
,57103,,,Tempo SC,,,P.O. Box 775 Tea, SD 57064,,,https://www.southdakotasoccer.com/clubs/tempo_sc/?Near=57103&Radius=250,
,57103,,,SoccerMadison,,,PO Box 80 Madison, SD 57042,,,https://www.southdakotasoccer.com/clubs/soccermadison/?Near=57103&Radius=250,
,57103,,,Brookings Soccer Association,,,P.O. Box447 Brookings, SD 57006,,,https://www.southdakotasoccer.com/clubs/brookingssoccerassociation/?Near=57103&Radius=250,
,57103,,,Vermillion YSL,,,P.O. Box 174 Vermillion, SD 57069,,,https://www.southdakotasoccer.com/clubs/vermillion_ysl/?Near=57103&Radius=250,
,57103,,,Predator FC,,,725 W chestnut Vermillion, SD 57069,,,https://www.southdakotasoccer.com/clubs/predatorfc/?Near=57103&Radius=250,
,57103,,,Yankton Soccer Association,,,P.O. Box 1012 Yankton, SD 57078,,,https://www.southdakotasoccer.com/clubs/yankton_soccer_association/?Near=57103&Radius=250,
,57103,,,Mitchell SA,,,P.O. Box 913 Mitchell, SD 57301,,,https://www.southdakotasoccer.com/clubs/mitchell_sa/?Near=57103&Radius=250,
,57103,,,Mitchell Soccer Association,,,PO Box 913 Mitchell, SD 57301,,,https://www.southdakotasoccer.com/clubs/mitchellsoccerassociation/?Near=57103&Radius=250,
,57103,,,High Plains Soccer,,,PO Box 433 Woonsocket, SD 57385,,,https://www.southdakotasoccer.com/clubs/highplainssoccer/?Near=57103&Radius=250,
,57103,,,Huron Soccer Association,,,250 33rd ST SW Huron, SD 57350,,,https://www.southdakotasoccer.com/clubs/huronsoccerassociation-1/?Near=57103&Radius=250,
,57103,,,Huron SA,,,801 18th St. SW Huron, SD 57350,,,https://www.southdakotasoccer.com/clubs/huron_sa/?Near=57103&Radius=250,
,57103,,,Watertown Youth Soccer Association,,,PO Box 556 Watertown, SD 57201,,,https://www.southdakotasoccer.com/clubs/watertownyouthsoccerassociation/?Near=57103&Radius=250,
,57103,,,Wessington Springs SA,,,706 Dakota Ave N Wessington Springs, SD 57382,,,https://www.southdakotasoccer.com/clubs/wessington_springs_sa/?Near=57103&Radius=250,
,57103,,,Grant County Soccer Association,,,47927 153rd Street Milbank, SD 57252-5930,,,https://www.southdakotasoccer.com/clubs/grantcountysoccerassociation/?Near=57103&Radius=250,
,57103,,,COAST Soccer Club,,,PO Box 103 Pukwana, SD 57370,,,https://www.southdakotasoccer.com/clubs/coastsoccerclub/?Near=57103&Radius=250,
,57103,,,Redfield Soccer Association,,,PO Box 393 Redfield, SD 57469,,,https://www.southdakotasoccer.com/clubs/redfieldsoccerassociation/?Near=57103&Radius=250,
,57103,,,Redfield Soccer Association,,,PO Box 393 Redfield, SD 57469,,,https://www.southdakotasoccer.com/clubs/redfieldsoccerassociation-1/?Near=57103&Radius=250,
,57103,,,Webster Area Soccer,,,P.O. Box 103 Webster, SD 57274,,,https://www.southdakotasoccer.com/clubs/webster_area_soccer/?Near=57103&Radius=250,
,57103,,,Groton Soccer Association,,,PO Box 193 Groton, SD 57445,,,https://www.southdakotasoccer.com/clubsgrotonsoccerassociation?Near=57103&Radius=250,
,57103,,,Hub City Soccer Club,,,308 6th Ave SW P.O. Box 584,SD,,,https://www.southdakotasoccer.com/clubs/hubcitysoccerclub/?Near=57103&Radius=250,
,57103,,,Britton Soccer Association,,,812 4th Street Britton, SD 57430,,,https://www.southdakotasoccer.com/clubs/brittonsoccerassociation/?Near=57103&Radius=250,
,57103,,,Oahe FC,,,1005 Cambridge Drive Pierre, SD 57501,,,https://www.southdakotasoccer.com/clubs/oahefc/?Near=57103&Radius=250,
,57103,,,Capital Area Soccer Association,,,PO Box 704 Pierre, SD 57501,,,https://www.southdakotasoccer.com/clubs/capitalareasoccerassociation/?Near=57103&Radius=250,
