,PACIFIC NORTHWEST CONFERENCE,Bridge City SA,http://bridgecitysoccer.org/,
,PACIFIC NORTHWEST CONFERENCE,Capital FC,http://www.cfcsalem.com/,
,PACIFIC NORTHWEST CONFERENCE,Columbia Premier SC,http://washingtontimbers.com/,
,PACIFIC NORTHWEST CONFERENCE,Eugene Metro Fútbol Club ,http://www.eugenetimbers.org/,
,PACIFIC NORTHWEST CONFERENCE,Liverpool FC IA Washington,https://www.lfciawashington.com/academy,
,PACIFIC NORTHWEST CONFERENCE,OL Reign Academy,https://www.olreignacademy.com/#changing-the-game,
,PACIFIC NORTHWEST CONFERENCE,Spokane Sounders,https://spokanesounders.org/,
,PACIFIC NORTHWEST CONFERENCE,Washington Rush,https://www.washingtonrush.com/,
,PACIFIC NORTHWEST CONFERENCE,Washington East Surf SC,https://www.wesurfsc.com/,
,SOUTHEAST CONFERENCE,AFC Lightning,http://www.afclightning.org/,
,SOUTHEAST CONFERENCE,Florida United,https://www.flunited.com/,
,SOUTHEAST CONFERENCE,IMG Academy,https://www.imgacademy.com/boarding-school/athletics/soccer,
,SOUTHEAST CONFERENCE,PBG Predators,http://www.predatorssoccer.org/,
,SOUTHEAST CONFERENCE,South Carolina Surf,http://www.southcarolinasurfsoccer.com/,
,SOUTHEAST CONFERENCE,Southern Soccer Academy,http://www.ssaelite.com/,
,SOUTHEAST CONFERENCE,Tophat Gold,https://www.nasatophat.com/girls-ga,
,SOUTHEAST CONFERENCE,Tophat Navy,https://www.nasatophat.com/girls-ga,
,SOUTHEAST CONFERENCE,Wake FC,https://www.wakefc.com/,
,SOUTHEAST CONFERENCE,West Florida Flames,http://fcflames.com/,
,SOUTHWEST CONFERENCE,Albion SC San Diego,http://www.albionsoccer.org/,
,SOUTHWEST CONFERENCE,City SC,https://ourcitysc.com/,
,SOUTHWEST CONFERENCE,FC Tucson,https://fctucsonyouth.com/,
,SOUTHWEST CONFERENCE,FRAM Soccer Club,https://www.framsoccer.com/,
,SOUTHWEST CONFERENCE,LA Surf SC,https://wearelasurf.com/,
,SOUTHWEST CONFERENCE,Murrieta Soccer Academy,http://www.murrietasocceracademy.com/,
,SOUTHWEST CONFERENCE,SC del Sol,https://www.scdelsolgirlsacademy.com/,
,SOUTHWEST CONFERENCE,SDSC Surf,https://www.sdscsurf.com/,
,SOUTHWEST CONFERENCE,West Coast FC,https://www.westcoastfc.org/,
