,Acadia Fire SC,,,http://www.acadiafiresoccer.com/,
,Bangor Soccer Club,,,http://www.bangorsoccerclub.org/,
,Brewer Soccer Club,,,http://www.brewersoccerclub.org/,
,Coldbrook Travel Soccer Club,,,http://www.coldbrooksoccer.com/,
,Dirigo Soccer Club,,,https://www.facebook.com/DirigoSoccerClub/,
,Ellsworth Travel Soccer Club,,,http://www.defymca.org/youth-sports/soccer-2/travel-soccer/,
,Maranacook Travel Soccer Club,,,http://www.maranacooktravelsoccerclub.com/,
,Pen Bay Soccer Club,,,http://www.penbaysoccerclub.org/,
,Waterville Youth Soccer Association,,,http://www.wysa.info/,
,Winslow Travel Soccer Club,,,http://www.leaguelineup.com/wtsc,
,Brunswick Soccer Club,,,http://www.leaguelineup.com/welcome.asp?sid=868258724&url=brunswicksoccerclub,
,Cumberland Soccer Club,,,http://www.cumberlandsoccerclub.com/,
,Freeport United Soccer Club,,,http://freeportunitedsoccerclub.com/,
,LAYSA (Lewiston-Auburn Soccer Association),,,http://www.laysa.org/,
,Merrymeeting Soccer Club,,,http://www.merrymeetingsoccer.org/,
,Midcoast Football Club,,,https://www.facebook.com/MidcoastFC/,
,Oxford County Soccer Club,,,http://www.oxfordcountysoccerclub.org/,
,Patriot Soccer Club,,,http://www.patriotsoccerclub.org/,
,Western Mountain Youth Soccer Association,,,http://www.wmyouthsoccer.com/,
,Yarmouth Colts,,,http://www.yarmouthcolts.com/,
,Bonny Eagle Soccer Club,,,http://www.besoccerclub.com/,
,Cape Elizabeth Soccer Club,,,http://www.capeelizabethsoccerclub.org/,
,Falmouth Youth Soccer Association,,,http://www.falmouthsoccer.org/,
,Gorham Youth Soccer Association,,,http://www.gorhamyouthsoccer.com/,
,PAYSA (Portland Area Youth Soccer Association),,,http://paysasoccer.com/,
,South Portland Strikers,,,http://www.sopostrikers.com/,
,Westbrook Soccer League,,,http://wsc.gotsport.com/clubsite/?p=19180,
,Windham Youth Soccer Association ,,,http://www.windhamyouthsoccer.com/,
,Biddeford Youth Soccer Association,,,http://www.biddefordyouthsoccer.org/,
,Berwick Youth Soccer Association,,,http://www.berwicksoccer.com/,
,Kennebunk Soccer Club,,,http://www.kennebunksoccerclub.com/,
,Marshwood Travel Soccer,,,http://www.marshwoodsoccerclub.com/,
,Massabesic United Soccer Club,,,http://www.massabesicunited.com/,
,Saco Soccer Club,,,http://www.sacosoccerclub.com/,
,Sanford/Springvale Soccer Association,,,http://www.sanfordsoccer.com/,
,Scarborough Soccer Club,,,http://www.scarboroughsoccerclub.org/,
,Andro Stars FC,,,http://www.androstars.com/default.aspx?portalid=22011,
,Central Maine United Soccer Club,,,http://cmusc.org/,
,DSA United SC,,,http://www.dutchsocceracademy.com/dsa-united/,
,FC America-Maine,,,https://www.facebook.com/FCAmericaME/posts/223317090448475/,
,Maine Lightning SC,,,http://www.mainelightningsoccer.com/,
,River City Athletics,,,http://www.rivercitymaine.com/,
,Rosevelt Soccer Club,,,http://roseveltsoccer.com/,
,Seacoast United Maine,,,http://www.seacoastunitedmaine.com/,
,Southern Maine FC,,,https://www.southernmainefc.com/#/,
,Velocity Soccer Club,,,http://www.velocitysoccer.com/,
