,Artesia Youth Soccer Association,,,https://clubs.bluesombrero.com/artesiayouthsoccer,
,Lovington Youth Soccer Association,,,https://www.facebook.com/pages/Lovington-Youth-Soccer-Association/195133010679819,
,Atletico New Mexico FC,,,https://www.atleticonm.org/,
,New Mexico Soccer Academy ,,,https://www.nmsocceracademy.com/,
,Carlsbad Youth Soccer League,,,http://www.cnmysl.com/,
,Northern Soccer Club De Santa Fe,,,http://www.northernsc.org/,
,Clovis Youth Soccer Association,,,http://www.cysanm.net/,
,Northwest Rio Grande Soccer League ,,,http://nwrgsl.com/,
,Deming Youth Soccer League,,,https://clubs.bluesombrero.com/default.aspx?portalid=51031,
,Otero County Youth Soccer League,,,http://oterocounty.nmysalive.net/home.php,
,Duke City Youth Soccer League,,,http://www.dukecity.org/,
,Roswell Youth Soccer Association,,,http://www.roswellsoccer.org/,
,Four Corners Youth Soccer League,,,https://www.eteamz.com/fcyslnm/,
,Santa Fe United Football Club,,,https://www.sfufc.com/,
,Gallup Youth Soccer League,,,http://www.gallupsoccerleague.com/,
,Sierra County Youth Soccer Association,,,https://www.facebook.com/pages/Sierra-County-Youth-Soccer-Organization/284694284931396,
,Guadalajara Soccer Association,,,https://clubs.bluesombrero.com/guadalajara,
,Taos Youth Soccer League,,,http://www.taosoccer.com/,
,Hobbs Youth Soccer Association,,,http://www.hobbssoccer.org/,
,Las Cruces Youth Soccer Association,,,http://lascrucessoccer.nmysalive.net/,
,Los Alamos Youth Soccer League ,,,https://laysl.org/,
